,Acc@1,Acc@5,model,init_fn,constraint_fn,s_iter,w_bits,a_bits,joint_training
0,63.314,85.802,ResNet18-W2A4-sc,tanh,sigmoid,2500,2,4,True
0,69.076,89.33,ResNet50-W2A4-sc,tanh,sigmoid,2500,2,4,True
0,44.008,70.562,MobileNetV2-W2A4-sc,tanh,sigmoid,2500,2,4,True
0,62.066,84.934,RegNetX-600MF-W2A4-sc,tanh,sigmoid,2500,2,4,True
0,71.23,90.75,RegNetX-3.2GF-W2A4-sc,tanh,sigmoid,2500,2,4,True
0,64.436,86.272,ResNet18-W2A4-sc,tanh,sigmoid,2500,2,4,True
0,69.114,89.298,ResNet50-W2A4-sc,tanh,sigmoid,2500,2,4,True
0,44.276,70.636,MobileNetV2-W2A4-sc,tanh,sigmoid,2500,2,4,True
0,61.712,84.572,RegNetX-600MF-W2A4-sc,tanh,sigmoid,2500,2,4,True
0,71.052,90.822,RegNetX-3.2GF-W2A4-sc,tanh,sigmoid,2500,2,4,True
0,64.218,85.99,ResNet18-W2A4-sc,tanh,sigmoid,2500,2,4,True
0,68.968,89.348,ResNet50-W2A4-sc,tanh,sigmoid,2500,2,4,True
0,44.748,70.926,MobileNetV2-W2A4-sc,tanh,sigmoid,2500,2,4,True
0,61.728,84.834,RegNetX-600MF-W2A4-sc,tanh,sigmoid,2500,2,4,True
0,71.234,90.878,RegNetX-3.2GF-W2A4-sc,tanh,sigmoid,2500,2,4,True
0,64.3,86.004,ResNet18-W2A4-sc,tanh,sigmoid,2500,2,4,True
0,69.156,89.42,ResNet50-W2A4-sc,tanh,sigmoid,2500,2,4,True
0,44.102,70.436,MobileNetV2-W2A4-sc,tanh,sigmoid,2500,2,4,True
0,62.116,84.794,RegNetX-600MF-W2A4-sc,tanh,sigmoid,2500,2,4,True
0,71.35,90.774,RegNetX-3.2GF-W2A4-sc,tanh,sigmoid,2500,2,4,True
0,64.378,86.158,ResNet18-W2A4-sc,tanh,sigmoid,2500,2,4,True
0,69.282,89.332,ResNet50-W2A4-sc,tanh,sigmoid,2500,2,4,True
0,44.482,70.48,MobileNetV2-W2A4-sc,tanh,sigmoid,2500,2,4,True
0,61.902,85.032,RegNetX-600MF-W2A4-sc,tanh,sigmoid,2500,2,4,True
0,70.89,90.716,RegNetX-3.2GF-W2A4-sc,tanh,sigmoid,2500,2,4,True
